id;producer_name;created_at;producer_logo;producer_logo_content_type
ac521ba1-2a7b-4ed4-8c9a-32614d4aa0ac;psst;2024-05-05T05:40:13;../fake-data/blob/hipster.png;image/png
212fc22e-fbcb-4de9-a1c8-94da2a6ce122;mmm casement;2024-05-05T12:31:04;../fake-data/blob/hipster.png;image/png
c6df8a66-fcc0-449a-bf94-ef53038ec753;climb criticize to;2024-05-04T21:17:56;../fake-data/blob/hipster.png;image/png
0c178461-2443-4c35-abc5-e6518f246fdb;rudely;2024-05-05T07:39:03;../fake-data/blob/hipster.png;image/png
0829ef1d-ce07-420c-9574-e5aa85d4407a;toward;2024-05-05T05:39:52;../fake-data/blob/hipster.png;image/png
2d527820-441a-434f-8c0c-725bb6ee058c;haunting though;2024-05-05T18:54:29;../fake-data/blob/hipster.png;image/png
73b3986b-62ee-4ee5-bd16-1c712ca7ee2f;safely of garrotte;2024-05-05T15:27:23;../fake-data/blob/hipster.png;image/png
7aeaac6a-6859-4a6a-8387-4631fd511880;monthly;2024-05-05T01:11:39;../fake-data/blob/hipster.png;image/png
9b66b818-d5fb-4979-99d2-3bbe24cb5a8f;naughty why gang;2024-05-05T11:46:45;../fake-data/blob/hipster.png;image/png
cd58ce7f-0e93-49d5-b0ef-0a584448e2c0;contest blah;2024-05-05T07:48:32;../fake-data/blob/hipster.png;image/png
