id;seller_name;state;producer_id_id;seller_info_id_id
3b73f5df-2349-44dc-ab1a-89945ebd62c1;inasmuch babyish;WHITELISTED;ac521ba1-2a7b-4ed4-8c9a-32614d4aa0ac;f9a6a77d-4a27-4031-869c-47facad8c572
734e2820-2b57-4640-916c-51629d6c97a9;tickle;REGULAR;212fc22e-fbcb-4de9-a1c8-94da2a6ce122;2b1342f0-49a8-4c5f-961c-3165704b3210
00a55265-f826-4ee2-a1c4-57a6df614971;elegant above;REGULAR;c6df8a66-fcc0-449a-bf94-ef53038ec753;a42015bc-a0e5-4fb8-878d-4ea917b69aa3
4cbbafd7-f1bd-4880-a8ff-5d68d615d702;indeed rigid;WHITELISTED;0c178461-2443-4c35-abc5-e6518f246fdb;a96c531d-1d32-4423-ab3b-3c0efc9fbe63
0f379960-7e7f-494f-be5b-cc3f52a32eda;female concerning storey;REGULAR;0829ef1d-ce07-420c-9574-e5aa85d4407a;aff4ff38-911c-4a6c-b00b-b6ee3db51f93
6ac1def7-d9c9-43e3-9899-99c46f014785;humiliate tribe;GREYLISTED;2d527820-441a-434f-8c0c-725bb6ee058c;8372f776-d8e7-463e-9376-3f2141172157
69ad287e-8e23-4410-8655-d9ae8800368b;spud joyfully;REGULAR;73b3986b-62ee-4ee5-bd16-1c712ca7ee2f;e8ab66da-72ed-4803-b8f9-6b8d88d3877a
ace0124f-060b-43dd-928b-2982ad4e3086;boo fervently;WHITELISTED;7aeaac6a-6859-4a6a-8387-4631fd511880;ee9df0b2-33c8-4b8d-bc42-770b7d54f285
b8fb7c73-a203-4008-a395-7935b51e0796;after when across;WHITELISTED;9b66b818-d5fb-4979-99d2-3bbe24cb5a8f;d5bec86e-44ee-48aa-b774-ce9de09070ef
74f59281-7aab-439f-be9c-942abdaec7e5;unload although;BLACKLISTED;cd58ce7f-0e93-49d5-b0ef-0a584448e2c0;dcd68e52-a8da-4a0a-985b-085ee88c979a
