id;marketplace_name;url;country;external_id;marketplace_id_id
f9a6a77d-4a27-4031-869c-47facad8c572;an;https://negligible-menu.info/;Saint Vincent and the Grenadines;mmm whoa oh;4ea48220-7234-4eae-8ff8-381815618874
2b1342f0-49a8-4c5f-961c-3165704b3210;shipper;https://insidious-cone.biz;Cote d'Ivoire;that ossify save;baffd53f-f660-4b6f-be51-0e18dd008738
a42015bc-a0e5-4fb8-878d-4ea917b69aa3;inside nervously predicate;https://truthful-bronchitis.org;Bulgaria;disrespect;305b00e6-2107-4237-8427-f3bd2120cb89
a96c531d-1d32-4423-ab3b-3c0efc9fbe63;whenever fondly;https://triangular-sideburns.biz/;Kyrgyz Republic;neatly eschew;e345079c-90c2-4813-a658-4afdef286ead
aff4ff38-911c-4a6c-b00b-b6ee3db51f93;provided short;https://radiant-remark.net;Isle of Man;hate wetly;d2b707b7-83c7-463d-aa62-4f1643574c50
8372f776-d8e7-463e-9376-3f2141172157;verification violently;https://unhappy-hornet.net/;Sudan;though if jogging;4ff48816-d130-460f-9d11-b0974999096d
e8ab66da-72ed-4803-b8f9-6b8d88d3877a;ugh although briefly;https://kooky-swim.com;Senegal;where beside gash;4a83dbe9-5f79-438a-8eef-99daa2a1b62e
ee9df0b2-33c8-4b8d-bc42-770b7d54f285;countryside huzzah ack;https://productive-apse.biz/;Dominican Republic;ugh resolve;949dd23a-e066-4a78-b1ee-4080ff78fab8
d5bec86e-44ee-48aa-b774-ce9de09070ef;ugh;https://real-conservative.net;Anguilla;playfully frilly whose;7a96bf7b-fcdf-4871-8662-4cacce7c1359
dcd68e52-a8da-4a0a-985b-085ee88c979a;whereas gadzooks woot;https://opulent-vision.name;Dominica;or inside;cc09390f-713e-467b-93bd-bf0edef79489
